Total , 17 661 298, 5 999 340, 1 961 874, 6 932 629,  17 737, 1 288 267,  449 351,  903 859,  108 241
Jan, 1 734 141,  693 987,  150 051,  643 697,  1 546,  118 055,  37 668,  80 848,  8 289
Fev, 1 721 169,  656 481,  167 639,  649 600,  1 548,  119 625,  37 649,  80 200,  8 428
Mar, 1 663 499,  618 452,  165 520,  635 825,  1 558,  125 695,  34 090,  74 061,  8 297
Abr, 1 547 571,  509 598,  186 240,  608 764,  1 493,  116 591,  37 675,  78 830,  8 380
Mai, 1 404 970,  455 869,  172 065,  555 943,  1 284,  101 914,  36 548,  73 225,  8 123
Jun, 1 346 742,  412 705,  164 828,  541 640,  1 527,  100 987,  37 740,  74 715,  12 601
Jul, 1 278 478,  395 975,  151 539,  516 619,  1 508,  93 102,  37 004,  73 803,  8 928
Ago, 1 319 160,  412 126,  166 070,  524 641,  1 436,  94 072,  37 998,  73 710,  9 107
Set, 1 332 110,  412 190,  166 970,  531 730,  1 451,  98 874,  38 039,  73 906,  8 950
Out, 1 402 063,  470 083,  134 774,  566 402,  1 449,  108 731,  36 814,  74 910,  8 901
Nov, 1 472 300,  485 953,  173 311,  579 984,  1 466,  108 132,  39 689,  74 471,  9 294
Dez, 1 439 094,  475 921,  162 866,  577 785,  1 470,  102 489,  38 437,  71 181,  8 943
